,time,number_isolating,number_infected
0,Week 0 Monday 23,27,96
0,Week 0 Tuesday 23,34,96
0,Week 0 Wednesday 23,26,96
0,Week 0 Thursday 23,30,96
0,Week 0 Friday 23,26,96
0,Week 0 Saturday 23,32,103
0,Week 1 Sunday 23,30,108
0,Week 1 Monday 23,39,117
0,Week 1 Tuesday 23,30,124
0,Week 1 Wednesday 23,33,135
0,Week 1 Thursday 23,44,144
0,Week 1 Friday 23,34,150
0,Week 1 Saturday 23,55,159
0,Week 2 Sunday 23,19,70
0,Week 2 Monday 23,17,76
0,Week 2 Tuesday 23,18,77
0,Week 2 Wednesday 23,26,82
0,Week 2 Thursday 23,22,89
0,Week 2 Friday 23,26,93
0,Week 2 Saturday 23,28,87
0,Week 3 Sunday 23,24,90
0,Week 3 Monday 23,20,82
0,Week 3 Tuesday 23,25,85
0,Week 3 Wednesday 23,14,80
0,Week 3 Thursday 23,30,72
0,Week 3 Friday 23,14,72
0,Week 3 Saturday 23,22,68
0,Week 4 Sunday 23,20,69
0,Week 4 Monday 23,21,66
0,Week 4 Tuesday 23,19,69
0,Week 4 Wednesday 23,23,72
0,Week 4 Thursday 23,22,69
0,Week 4 Friday 23,23,70
0,Week 4 Saturday 23,21,70
0,Week 5 Sunday 23,14,69
0,Week 5 Monday 23,18,69
0,Week 5 Tuesday 23,16,60
0,Week 5 Wednesday 23,21,56
0,Week 5 Thursday 23,11,58
0,Week 5 Friday 23,13,58
0,Week 5 Saturday 23,17,54
0,Week 6 Sunday 23,16,49
0,Week 6 Monday 23,14,50
0,Week 6 Tuesday 23,15,50
0,Week 6 Wednesday 23,11,47
0,Week 6 Thursday 23,15,44
0,Week 6 Friday 23,9,43
0,Week 6 Saturday 23,12,45
0,Week 7 Sunday 23,16,47
0,Week 7 Monday 23,15,46
0,Week 7 Tuesday 23,8,51
0,Week 7 Wednesday 23,19,51
0,Week 7 Thursday 23,22,50
0,Week 7 Friday 23,11,46
0,Week 7 Saturday 23,15,48
0,Week 8 Sunday 23,15,48
0,Week 8 Monday 23,10,50
0,Week 8 Tuesday 23,12,46
0,Week 8 Wednesday 23,10,45
0,Week 8 Thursday 23,12,45
0,Week 8 Friday 23,11,45
0,Week 8 Saturday 23,19,43
0,Week 9 Sunday 23,13,36
0,Week 9 Monday 23,8,38
0,Week 9 Tuesday 23,8,35
0,Week 9 Wednesday 23,11,38
0,Week 9 Thursday 23,12,42
0,Week 9 Friday 23,12,41
0,Week 9 Saturday 23,18,39
0,Week 10 Sunday 23,9,39
0,Week 10 Monday 23,6,36
0,Week 10 Tuesday 23,13,37
0,Week 10 Wednesday 23,11,33
0,Week 10 Thursday 23,12,33
0,Week 10 Friday 23,9,31
0,Week 10 Saturday 23,10,34
0,Week 11 Sunday 23,15,34
0,Week 11 Monday 23,14,38
0,Week 11 Tuesday 23,12,40
0,Week 11 Wednesday 23,13,35
0,Week 11 Thursday 23,10,32
0,Week 11 Friday 23,8,34
0,Week 11 Saturday 23,12,34
0,Week 12 Sunday 23,8,32
0,Week 12 Monday 23,9,32
0,Week 12 Tuesday 23,6,32
0,Week 12 Wednesday 23,14,36
0,Week 12 Thursday 23,13,35
0,Week 12 Friday 23,16,33
0,Week 12 Saturday 23,13,29
